id;bank_account;bank_name;branch;opening_balance;debt_incurred;incurred;ending_balance;created_date;key_uuid
1;orchid;invoice system-worthy Investment;deposit Carolina compelling;20174;3356;377;78247;2022-12-16;quantify Ringgit systems
2;Vermont Pants Designer;fresh-thinking;Research;45660;5177;47528;23861;2022-12-15;bus Officer Liaison
3;Steel Oval;reboot Pizza hack;Loan;10336;18290;36329;72349;2022-12-15;Automotive Mississippi
4;visualize;Fresh;Fresh hòa;91094;1627;29052;59019;2022-12-16;alarm
5;Engineer Ameliorated convergence;Gorgeous;Djibouti synthesizing Berkshire;54939;55374;79071;17727;2022-12-15;override virtual RAM
6;killer;Chair;Practical invoice;71268;48924;38935;6993;2022-12-15;Borders
7;website Internal index;matrix;e-services Shirt Zambian;58549;99397;36421;32059;2022-12-15;Fresh
8;navigate;digital Bedfordshire;Philippine;87250;88489;69587;27284;2022-12-15;Table Metal facilitate
9;Paradigm Chicken Nigeria;Maine;Cotton Wyoming Pound;20181;14928;29508;53442;2022-12-15;encompassing Louisiana
10;granular deposit;sensor platforms Interactions;cross-platform;75817;29600;90955;95573;2022-12-15;Fresh purple Berkshire
