id;account_number;account_name;first_debt;first_yes;debt_arises;arises_yes;accumulated_debt;accumulated_yes;last_debt;last_yes;created_date;key_uuid
1;Money Parkway;Home Loan Account;23697;18839;14690;67932;10625;15413;70426;9459;2022-12-15;deposit sexy Division
2;Kwacha Rustic Kids;Money Market Account;39709;15904;10623;52557;41176;24661;10219;21372;2022-12-15;product protocol
3;IB;Money Market Account;21335;88227;28321;21117;509;68233;21557;35725;2022-12-15;virtual
4;circuit Loan Chair;Investment Account;29846;75256;74122;51014;6815;46722;42268;42540;2022-12-15;regional Bedfordshire California
5;leverage Rupee;Credit Card Account;54867;75919;10237;45719;51989;73385;42160;44677;2022-12-16;compressing
6;Associate Bacon;Checking Account;57980;30175;52987;28410;84418;93850;62946;71377;2022-12-15;metrics
7;Silver Virginia;Savings Account;82017;52434;60605;8926;11572;76407;75098;36011;2022-12-16;Rustic Massachusetts
8;Texas;Credit Card Account;24251;5045;66719;16778;59032;78863;5021;8552;2022-12-15;Steel
9;Synergistic Hy;Checking Account;33526;3238;30928;45042;19839;77290;75173;25239;2022-12-15;sensor calculate
10;Gorgeous impactful;Checking Account;74310;24932;98547;33352;87774;31909;5387;86413;2022-12-15;systematic transmitter Fantastic
