id;ma_ccdc;ten_ccdc;loai_ccdc;ly_do_ghi_tang;ngay_ghi_tang;so_ct_ghi_tang;so_ky_phan_bo;so_ky_pb_con_lai;dvt;sl_ghi_tang;luy_ke_sl_da_giam;sl_con_lai;gia_tri_ccdc;gia_tri_pb_hang_ky;pb_trong_ky;luy_ke_da_pb;gia_tri_con_lai;tk_cho_phan_bo;created_date;key_uuid
1;monitor;Haven Lead Assimilated;Forge;Texas calculate withdrawal;2022-12-15;UAE multi-byte;18522;21378;grey benchmark;70294;72355;98142;19361;75102;54772;37803;407;synthesizing systemic Wooden;2022-12-15;Oregon Pound
2;Direct;Steel product Personal;Franc;Visionary Generic;2022-12-15;help-desk;71738;20162;Borders architectures Toys;96132;46726;34532;72821;78572;25242;84880;46303;Path markets;2022-12-15;Savings
3;Bacon system;Botswana Yen;enhance;Chicken;2022-12-15;Generic grey;84364;2037;Analyst users Health;42309;5406;41532;94221;64529;28077;98102;22414;Dollar port artificial;2022-12-15;Web firewall
4;Refined Profit-focused programming;Analyst Generic;interfaces client-driven;Plastic;2022-12-16;Marketing;36978;93553;Officer olive Virginia;17219;57409;6265;98492;40301;65745;30902;5928;Indiana facilitate visualize;2022-12-15;partnerships Salad Niger
5;lavender;Licensed;AI Metrics structure;dot-com regional deposit;2022-12-15;Electronics;4906;65107;quantify 1080p;45031;32511;11113;38803;35464;12688;38135;13493;parsing Metal Fords;2022-12-15;Plastic
6;scale;Cambridgeshire;services Optimization sensor;Officer Cambridgeshire Games;2022-12-15;analyzer Parkway;59604;70836;orchestration;99454;12105;21097;86695;31788;44730;30350;17727;Swedish Investment;2022-12-15;Concrete Georgia
7;Bacon initiatives;Ameliorated Money;Cape;lime initiative;2022-12-16;Adaptive;52811;2462;RAM Concrete;8999;55455;1010;34126;60894;22586;48064;44912;unleash;2022-12-16;Specialist hierarchy green
8;Market methodology;Small invoice Shoes;Gloves;Avon;2022-12-15;markets backing;91202;39587;Administrator Wooden Idaho;88883;22597;76409;488;23782;41217;45097;35663;orchestrate deposit synthesize;2022-12-15;override Extended deposit
9;Future;architecture Bike Kyat;Tennessee solution Functionality;Kyrgyzstan;2022-12-16;calculating Investment Incredible;46968;98876;Liên;80012;25789;43512;35191;55848;87879;51384;48181;Loan Frozen withdrawal;2022-12-15;Grocery Investment International
10;Taka deploy;Trung Syrian Ergonomic;Representative parse;withdrawal Tunnel;2022-12-15;Squares;37935;62181;Dollar;11044;75076;7349;25082;54821;62164;60280;45817;Berkshire Rustic Lock;2022-12-15;circuit redundant
