id;makh;tenkh;tkcongno;sodunodauky;soducodauky;sonophatsinh;socophatsinh;sodunocuoiky;soducocuoiky;created_date;key_uuid
1;revolutionary product;gold;mint;79390;27214;45978;28890;83117;71683;2022-12-15;transmitter
2;quantifying projection Metal;white;Generic Small;95006;42692;55516;21720;17473;69229;2022-12-16;Metical Assimilated global
3;transmit Music;sticky Awesome synthesize;Alaska;46882;1301;94274;676;83127;73781;2022-12-15;Orchestrator Berkshire teal
4;Licensed;Customer overriding;infrastructures Shirt;62696;58938;1035;63842;89270;38724;2022-12-15;innovative Executive Chair
5;quantifying;XML pink hòa;turquoise Sausages Pants;80970;59313;89032;16176;14229;23385;2022-12-15;Account Designer
6;copy Soft;Rand;Account up bus;9480;90148;55625;12782;61572;3566;2022-12-15;fault-tolerant Extended
7;override card overriding;leading-edge;maximized matrix;67333;7704;43672;82876;8482;81248;2022-12-15;Auto
8;collaborative Associate;override background PNG;e-tailers;83854;66556;14629;80274;16477;60670;2022-12-15;encompassing transitional
9;Accountability Loan Đức;Sleek;Shoes Intranet initiatives;9661;51225;50065;15647;30055;66069;2022-12-15;system Vermont Hat
10;user-centric;portals Infrastructure;Account asynchronous Buckinghamshire;69582;31939;97731;41207;1736;28681;2022-12-15;Toys
