id;ma_ncc;ten_ncc;tk_congno;so_du_no_dau_ky;so_du_co_dau_ky;phat_sinh_no;phat_sinh_co;so_du_no_cuoi_ky;so_du_co_cuoi_ky;created_date;key_uuid
1;bleeding-edge Loan;Chair hour extend;Fresh silver Wooden;74755;4246;13946;75730;59851;67974;2022-12-16;Table interface
2;Phased Passage;Rupiah throughput SAS;Cotton Outdoors;45110;72182;79144;42782;66483;78639;2022-12-15;Direct matrix circuit
3;Ấn;Games Bahrain;Customer Books;71487;71190;82345;11075;72088;67181;2022-12-15;input Yuan synthesizing
4;Wooden;Dynamic Personal;paradigms deposit;8930;82499;84585;69251;39859;68380;2022-12-16;Sleek
5;upward-trending exuding Gruzia;auxiliary Facilitator;Direct Response;14184;5046;48536;91232;71027;35837;2022-12-15;Investor
6;Seamless;transmitting Strategist;yellow Cambridgeshire orange;18806;34322;71172;55741;86205;6990;2022-12-15;EXE input
7;microchip Pizza;Bedfordshire;attitude-oriented orange 24/7;14923;81105;55909;81760;67097;3639;2022-12-15;Markets Electronics
8;instruction digital PNG;invoice Representative;calculating Shirt Plastic;87602;43261;1905;81881;32874;83554;2022-12-16;Cuba Keyboard generation
9;Unbranded;parsing Customer SMTP;Configuration;42453;79978;55674;91646;31534;23834;2022-12-15;Factors Rubber Shirt
10;Lebanese orange HTTP;tertiary;capacitor dot-com;72866;688;16549;12533;79939;83293;2022-12-15;JBOD Bacon Pass
