id;ma_tscd;ten_tscd;loai_tscd;don_vi_su_dung;ngay_ghi_tang;so_ct_ghi_tang;ngay_bat_dau_tinh_kh;thoi_gian_su_dung;thoi_gian_su_dung_con_lai;nguyen_gia;gia_tri_tinh_kh;hao_mon_trong_ky;hao_mon_luy_ke;gia_tri_con_lai;gia_tri_kh_thang;tk_nguyen_gia;tk_khau_hao;created_date;key_uuid
1;Georgia;Future-proofed Organized frame;user-centric Gorgeous;Frozen;2022-12-15;Optional Beauty;2022-12-15;28966;13849;16385;27570;6888;23501;43566;44361;Kids extend parse;Outdoors;2022-12-15;Assurance Bedfordshire ADP
2;microchip PCI;Money Strategist;Music;full-range hack Reactive;2022-12-15;Manager Soft Valley;2022-12-16;59775;57923;20645;16302;34027;16061;99279;39602;Credit pink e-enable;flexibility;2022-12-15;Bacon Rwanda
3;TCP;Incredible deposit;engine Account;indexing Buckinghamshire FTP;2022-12-15;capacitor Arizona global;2022-12-16;91210;9240;11402;6212;95041;6479;44948;14161;synthesize Facilitator Mexico;Solutions;2022-12-16;Facilitator Checking
4;turquoise web-readiness;Garden;Kyat;Representative indigo;2022-12-15;Carolina Implementation;2022-12-16;86060;68389;86827;53001;74594;73387;89884;64800;Car Consultant;Fantastic Haiti;2022-12-15;Architect
5;Tenge;system-worthy core Bike;leverage Manager;Regional Steel virtual;2022-12-15;Indiana;2022-12-15;15559;79849;15247;32588;93006;33122;75402;61523;invoice Cotton;array Bacon maroon;2022-12-15;mint
6;value-added;target;Money;Cotton Infrastructure;2022-12-15;Rubber Ferry;2022-12-15;43709;13862;91066;9722;73294;922;66019;61118;Producer Operations;bandwidth infomediaries;2022-12-16;Ball Guilder
7;HDD azure;Dynamic;dot-com;Accountability Salad Liaison;2022-12-15;transform value-added Shirt;2022-12-15;53259;45964;84128;61364;51159;25508;43430;49259;Rial Account;white program;2022-12-16;1080p Granite
8;Ergonomic Agent Square;connect Arkansas transmitting;Enterprise-wide;Monitored lime;2022-12-16;Nha generating;2022-12-16;79902;1823;2295;37784;81845;23241;45235;56177;THX;Missouri Functionality system-worthy;2022-12-15;capacitor
9;revolutionary;back-end;compressing envisioneer;Kosovo Liaison;2022-12-16;bluetooth Handcrafted;2022-12-15;60364;5448;5604;13;27602;49939;2618;76737;Soap Shoes;mindshare online;2022-12-15;Steel payment
10;Palladium lime;cyan object-oriented extend;parse;deposit Legacy Pizza;2022-12-15;grey New;2022-12-15;45131;95006;90258;47097;99273;49814;90537;55375;Programmable;Isle service-desk;2022-12-16;back-end human-resource Assurance
