id;ten_kho;ma_hang;ten_hang;dvt;dau_ky_so_luong;dau_ky_gia_tri;nhap_kho_so_luong;nhap_kho_gia_tri;xuat_kho_so_luong;xuat_kho_gia_tri;cuoi_ky_so_luong;cuoi_ky_gia_tri;don_gia_binh_quan;created_date;key_uuid
1;Nam salmon Personal;Chips;composite SMS;blockchains;42744;39081;34118;27747;48574;88330;49981;61980;19984;2022-12-15;viral
2;SMS green Soft;Algerian gold analyzer;Ohio Games România;as bandwidth;54272;46701;50588;76992;42325;12171;3407;14312;87201;2022-12-15;Concrete
3;Silver Buckinghamshire function;South turn-key synthesize;Birr Turkmenistan Metrics;quantifying SDD enterprise;17247;28818;29419;81595;26267;15036;36989;73362;20885;2022-12-15;Rwanda ADP Kids
4;Kansas;copy virtual Mobility;Assistant program Incredible;eyeballs Proactive;82863;85016;20136;85083;74172;58530;23411;1247;75154;2022-12-15;Concrete RSS
5;navigating;bi-directional ADP;auxiliary;Engineer Steel;53844;58584;39251;52938;86061;54258;19218;21445;61008;2022-12-15;leverage
6;copying;Associate quantifying;wireless Home;Implementation;84734;19963;79679;95645;42982;4109;50902;83442;26300;2022-12-15;User-friendly
7;Rubber;applications Pines;process;National deposit;54130;4241;92703;30670;6751;14500;74454;90288;47199;2022-12-15;Refined
8;index Sausages Maine;copying;Avenue wireless;Industrial;98267;47727;46739;31871;92430;93671;96006;12846;32917;2022-12-16;Flat index
9;Savings Small;Knoll deposit;quantifying one-to-one Summit;Mississippi Plastic;561;22373;56454;39413;22558;66584;7944;47290;37681;2022-12-15;Orchestrator Research Branding
10;ADP;Massachusetts Designer;methodical Concrete service-desk;Account hacking;90983;62953;47609;93212;68131;52452;92137;28769;94447;2022-12-15;invoice compressing Center
